Days_to_Maturity,Call_Price,Put_Price,Theta,Delta,Gamma
5.0,4.017084779548938,3.381225808437776,-0.38008887571009864,0.5371709799610422,0.04286217003920398
12.291666666666668,6.194071931203354,5.389386157681912,-0.24648305448128718,0.5374599360271568,0.027335320763598413
19.583333333333336,7.791904900261073,6.818544026800936,-0.19744544768831862,0.5405631654059917,0.021639826939668885
26.875,9.123740007769598,7.981855600527211,-0.17001516124113003,0.5439114689771354,0.018455849325270286
34.16666666666667,10.293402610989276,8.983146099928547,-0.15188773116972587,0.5471746377985913,0.01635301654841944
41.458333333333336,11.350757013825017,9.872279692839626,-0.13876000315306536,0.5502916194466912,0.014831142087110227
48.75,12.324333806152381,10.677786833188108,-0.1286832276248512,0.5532586203269294,0.013663729627404595
56.04166666666667,13.23227248474005,11.417806881916803,-0.1206296111511517,0.5560860293604254,0.012731333209335687
63.333333333333336,14.08695709378567,12.104723747519586,-0.11399896988343312,0.558787086986884,0.01196420821691893
70.625,14.89728958897011,12.747439250095653,-0.10841417361136721,0.5613745972558211,0.011318534023108964
77.91666666666667,15.669924285906873,13.352607569798423,-0.10362474298172047,0.5638600324829061,0.01076520880854001
85.20833333333334,16.40999076281109,13.925358149504817,-0.09945692604969027,0.5662534049288351,0.010284047103949753
92.5,17.121542684579424,14.469744518894828,-0.09578589750702243,0.5685633807884565,0.009860548749385668
99.79166666666667,17.807849782846887,14.98903627450838,-0.09251935584002975,0.5707974563175822,0.009483992630576706
107.08333333333334,18.47159520162296,15.485916425381177,-0.08958737761218692,0.5729621338649209,0.009146257648669595
114.375,19.11501320215423,15.962619097907336,-0.08693589035000666,0.575063078160005,0.008841064244357585
121.66666666666667,19.739987883504583,16.42102825641942,-0.08452233131782454,0.5771052488239307,0.008563469955830887
128.95833333333334,20.34812561705013,16.862750137683378,-0.0823126765215488,0.5790930105681205,0.008309524211858372
136.25,20.940809276056456,17.28916748047547,-0.08027935645776006,0.5810302241713217,0.00807602616988373
143.54166666666669,21.51923955959512,17.701480849498893,-0.07839976186157376,0.5829203214912495,0.007860351112652944
150.83333333333334,22.084466977950697,18.100740620790475,-0.07665515169637295,0.5847663674295928,0.00766032358390839
158.125,22.637416956751863,18.487872085851862,-0.07502984136344805,0.5865711113039784,0.007474123083311966
165.41666666666669,23.178909787544995,18.863695402222916,-0.07351058992195385,0.5883370296297677,0.007300212883778196
172.70833333333334,23.709676662072766,19.22894162776018,-0.07208613111021812,0.5900663619244433,0.00713728555597597
180.0,24.23037269103483,19.584265739397495,-0.07074680991079649,0.5917611408259862,0.006984220754645985
